Area,Price,Avg ratings
Sector 16 Rohini,333.3333333333333,4.0
Sector 2 Rohini,300.0,3.85
Sector 29,300.0,2.9
Sector 3,340.0,2.9
Sector 3 Rohini,530.0,3.78
Sector 37,200.0,2.9
Sector 4 Rohini,200.0,3.8
Sector 5 Rohini,400.0,2.9
Sector 51,250.0,2.9
Sector 6 Rohini,275.0,3.75
Sector 7 Rohini,321.05263157894734,4.005263157894737
Sector 73,400.0,3.9
Sector 8,300.0,2.9
Sector 8  Rohini,150.0,2.9
Sector 8 Rohini,227.27272727272728,3.745454545454545
Sector 9 Rohini,275.0,3.91
Sector V Salt Lake,325.0,3.0749999999999997
Secunderabad,200.0,2.9
Selimpur,500.0,4.300000000000001
Seshadripuram,365.0,3.8
Shah-E-Alam Roja,300.0,3.8
Shahpore,200.0,4.033333333333333
Shahpur,311.8,3.34
Shakurpur,300.0,2.8
Shalimar Bagh,338.8888888888889,3.9666666666666663
Shaniwar Peth,330.0,4.1
Shankarapura,293.75,3.8874999999999997
Shanti Nagar,230.0,3.41
Shantinagar,325.0,3.775
Sheela Vihar Colony,300.0,2.9
Shenoy Nagar,288.77777777777777,3.755555555555555
Sherkotda,200.0,2.9
Sheshadripuram,150.0,2.9
Shivaji Nagar,310.38666666666666,3.424
Shivajinagar,421.52777777777777,3.8819444444444446
Shobhabazar,412.5,4.025
Shukrawar Peth,283.3333333333333,3.8666666666666667
Shyam Bazar,350.0,3.87
Shyamal,212.5,3.8
Shyambazar Crossing,500.0,4.2
Sima Nagar,250.0,3.5
Sindhu Bhavan Road,400.0,4.1
Singanpor,200.0,3.6999999999999997
Sinhgad Road,273.47058823529414,3.088235294117647
Sinthee,250.0,3.642857142857143
Sion,409.35135135135135,3.7243243243243245
Sion Bhakti Park,277.05882352941177,3.1588235294117646
Sion Koliwada,600.0,4.3
Sithaphalmandi,200.0,2.9
Sivanchetti Gardens,474.9,3.88
Smarpally Kestopur,500.0,4.1
Somajiguda,427.77777777777777,3.9444444444444446
Somajiguda & Khairtabad,307.14285714285717,3.5
Someshwarpura,1200.0,2.9
Somwar Peth,325.0,4.25
Somwarpeth,400.0,2.9
South Dumdum,262.5,3.425
South Kolkata,326.53846153846155,3.396153846153846
South West,270.0,4.3
Southern Avenue Gariahat,400.0,4.2
Sovabazar,225.0,3.6500000000000004
Sreebhumi,400.0,4.2
Sri Durga Enclave,65.0,4.4
Sri Hanuman Nagar Colony,300.0,3.9
Sri Nagar,200.0,4.2
Sri Sai Tarun Enclave,200.0,3.7
Srinivas Towers,500.0,4.3
Srirampura,259.8,3.6799999999999997
Station Road Ghatkopar West,105.0,2.9
Subhash Nagar Petrol Pump,300.0,4.2
Sudhama Nagar,266.6666666666667,3.6
Surat,325.0,3.8
Swargate,269.4166666666667,3.0694444444444446
